[2026-03-19 21:00:04] Starting overnight autoresearch for SPY
[2026-03-19 21:00:04] Results directory: autoresearch_results/spy_20260320
[2026-03-19 21:00:04] Experiment timeout: 60s
[2026-03-19 21:00:04] Slippage: 0.01%
[2026-03-19 21:00:09] Total parameter combinations to test: 632
[2026-03-19 21:00:09] Starting EMA Crossover sweep (49 combos)...
[2026-03-19 21:00:24] Experiment 50/632 | MACD (fast=8, slow=20, signal=5) | train=0.9859 test=N/A | ❌
[2026-03-19 21:00:25] Experiment 51/632 | MACD (fast=8, slow=20, signal=7) | train=1.1651 test=0.1479 | ❌
[2026-03-19 21:00:26] Experiment 52/632 | MACD (fast=8, slow=20, signal=9) | train=1.1684 test=0.1778 | ❌
[2026-03-19 21:00:26] Experiment 53/632 | MACD (fast=8, slow=20, signal=11) | train=0.9026 test=N/A | ❌
[2026-03-19 21:00:27] Experiment 54/632 | MACD (fast=8, slow=20, signal=13) | train=1.0619 test=N/A | ❌
[2026-03-19 21:00:27] Experiment 55/632 | MACD (fast=8, slow=24, signal=5) | train=1.1156 test=0.1996 | ❌
[2026-03-19 21:00:28] Experiment 56/632 | MACD (fast=8, slow=24, signal=7) | train=1.2044 test=0.1391 | ❌
[2026-03-19 21:00:29] Experiment 57/632 | MACD (fast=8, slow=24, signal=9) | train=1.0775 test=N/A | ❌
[2026-03-19 21:00:29] Experiment 58/632 | MACD (fast=8, slow=24, signal=11) | train=0.9475 test=N/A | ❌
[2026-03-19 21:00:30] Experiment 59/632 | MACD (fast=8, slow=24, signal=13) | train=1.0746 test=N/A | ❌
[2026-03-19 21:00:31] Experiment 60/632 | MACD (fast=8, slow=26, signal=5) | train=1.1168 test=0.2335 | ❌
[2026-03-19 21:00:31] Experiment 61/632 | MACD (fast=8, slow=26, signal=7) | train=1.2116 test=0.0408 | ❌
[2026-03-19 21:00:32] Experiment 62/632 | MACD (fast=8, slow=26, signal=9) | train=0.9495 test=N/A | ❌
[2026-03-19 21:00:32] Experiment 63/632 | MACD (fast=8, slow=26, signal=11) | train=1.0181 test=N/A | ❌
[2026-03-19 21:00:33] Experiment 64/632 | MACD (fast=8, slow=26, signal=13) | train=1.1022 test=0.3690 | ✅ KEPT
[2026-03-19 21:00:34] Experiment 65/632 | MACD (fast=8, slow=30, signal=5) | train=1.1741 test=-0.0088 | ❌
[2026-03-19 21:00:35] Experiment 66/632 | MACD (fast=8, slow=30, signal=7) | train=1.1179 test=0.1143 | ❌
[2026-03-19 21:00:35] Experiment 67/632 | MACD (fast=8, slow=30, signal=9) | train=0.9736 test=N/A | ❌
[2026-03-19 21:00:36] Experiment 68/632 | MACD (fast=8, slow=30, signal=11) | train=1.1453 test=0.6015 | ✅ KEPT
[2026-03-19 21:00:36] Experiment 69/632 | MACD (fast=8, slow=30, signal=13) | train=1.0769 test=N/A | ❌
[2026-03-19 21:00:37] Experiment 70/632 | MACD (fast=8, slow=35, signal=5) | train=1.0924 test=N/A | ❌
[2026-03-19 21:00:38] Experiment 71/632 | MACD (fast=8, slow=35, signal=7) | train=0.9162 test=N/A | ❌
[2026-03-19 21:00:38] Experiment 72/632 | MACD (fast=8, slow=35, signal=9) | train=1.0217 test=N/A | ❌
[2026-03-19 21:00:39] Experiment 73/632 | MACD (fast=8, slow=35, signal=11) | train=1.0401 test=N/A | ❌
[2026-03-19 21:00:40] Experiment 74/632 | MACD (fast=8, slow=35, signal=13) | train=1.1626 test=0.1999 | ❌
[2026-03-19 21:00:40] Experiment 75/632 | MACD (fast=10, slow=20, signal=5) | train=1.1031 test=N/A | ❌
[2026-03-19 21:00:41] Experiment 76/632 | MACD (fast=10, slow=20, signal=7) | train=1.1649 test=0.1939 | ❌
[2026-03-19 21:00:42] Experiment 77/632 | MACD (fast=10, slow=20, signal=9) | train=0.9477 test=N/A | ❌
[2026-03-19 21:00:42] Experiment 78/632 | MACD (fast=10, slow=20, signal=11) | train=1.0521 test=N/A | ❌
[2026-03-19 21:00:43] Experiment 79/632 | MACD (fast=10, slow=20, signal=13) | train=1.1296 test=N/A | ❌
[2026-03-19 21:00:43] Experiment 80/632 | MACD (fast=10, slow=24, signal=5) | train=1.2338 test=0.0678 | ❌
[2026-03-19 21:00:44] Experiment 81/632 | MACD (fast=10, slow=24, signal=7) | train=1.1042 test=N/A | ❌
[2026-03-19 21:00:45] Experiment 82/632 | MACD (fast=10, slow=24, signal=9) | train=1.0078 test=N/A | ❌
[2026-03-19 21:00:45] Experiment 83/632 | MACD (fast=10, slow=24, signal=11) | train=1.0831 test=N/A | ❌
[2026-03-19 21:00:46] Experiment 84/632 | MACD (fast=10, slow=24, signal=13) | train=0.9773 test=N/A | ❌
[2026-03-19 21:00:47] Experiment 85/632 | MACD (fast=10, slow=26, signal=5) | train=1.1243 test=N/A | ❌
[2026-03-19 21:00:47] Experiment 86/632 | MACD (fast=10, slow=26, signal=7) | train=1.0060 test=N/A | ❌
[2026-03-19 21:00:48] Experiment 87/632 | MACD (fast=10, slow=26, signal=9) | train=0.9950 test=N/A | ❌
[2026-03-19 21:00:48] Experiment 88/632 | MACD (fast=10, slow=26, signal=11) | train=1.0463 test=N/A | ❌
[2026-03-19 21:00:49] Experiment 89/632 | MACD (fast=10, slow=26, signal=13) | train=1.0923 test=N/A | ❌
[2026-03-19 21:00:50] Experiment 90/632 | MACD (fast=10, slow=30, signal=5) | train=1.0764 test=N/A | ❌
[2026-03-19 21:00:50] Experiment 91/632 | MACD (fast=10, slow=30, signal=7) | train=0.9733 test=N/A | ❌
[2026-03-19 21:00:51] Experiment 92/632 | MACD (fast=10, slow=30, signal=9) | train=1.1271 test=N/A | ❌
[2026-03-19 21:00:51] Experiment 93/632 | MACD (fast=10, slow=30, signal=11) | train=1.1047 test=N/A | ❌
[2026-03-19 21:00:52] Experiment 94/632 | MACD (fast=10, slow=30, signal=13) | train=1.1175 test=N/A | ❌
[2026-03-19 21:00:53] Experiment 95/632 | MACD (fast=10, slow=35, signal=5) | train=1.0592 test=N/A | ❌
[2026-03-19 21:00:53] Experiment 96/632 | MACD (fast=10, slow=35, signal=7) | train=1.0187 test=N/A | ❌
[2026-03-19 21:00:54] Experiment 97/632 | MACD (fast=10, slow=35, signal=9) | train=1.0495 test=N/A | ❌
[2026-03-19 21:00:55] Experiment 98/632 | MACD (fast=10, slow=35, signal=11) | train=1.1215 test=N/A | ❌
[2026-03-19 21:00:55] Experiment 99/632 | MACD (fast=10, slow=35, signal=13) | train=0.9481 test=N/A | ❌
[2026-03-19 21:00:56] Experiment 100/632 | MACD (fast=12, slow=20, signal=5) | train=1.1812 test=0.2419 | ❌
[2026-03-19 21:00:57] Experiment 101/632 | MACD (fast=12, slow=20, signal=7) | train=1.0262 test=N/A | ❌
[2026-03-19 21:00:57] Experiment 102/632 | MACD (fast=12, slow=20, signal=9) | train=1.0267 test=N/A | ❌
[2026-03-19 21:00:58] Experiment 103/632 | MACD (fast=12, slow=20, signal=11) | train=1.1296 test=N/A | ❌
[2026-03-19 21:00:59] Experiment 104/632 | MACD (fast=12, slow=20, signal=13) | train=0.9027 test=N/A | ❌
[2026-03-19 21:00:59] Experiment 105/632 | MACD (fast=12, slow=24, signal=5) | train=1.1518 test=0.1447 | ❌
[2026-03-19 21:01:00] Experiment 106/632 | MACD (fast=12, slow=24, signal=7) | train=0.9212 test=N/A | ❌
[2026-03-19 21:01:01] Experiment 107/632 | MACD (fast=12, slow=24, signal=9) | train=1.0517 test=N/A | ❌
[2026-03-19 21:01:01] Experiment 108/632 | MACD (fast=12, slow=24, signal=11) | train=0.9864 test=N/A | ❌
[2026-03-19 21:01:02] Experiment 109/632 | MACD (fast=12, slow=24, signal=13) | train=0.9389 test=N/A | ❌
[2026-03-19 21:01:03] Experiment 110/632 | MACD (fast=12, slow=26, signal=5) | train=1.0826 test=N/A | ❌
[2026-03-19 21:01:03] Experiment 111/632 | MACD (fast=12, slow=26, signal=7) | train=1.0038 test=N/A | ❌
[2026-03-19 21:01:04] Experiment 112/632 | MACD (fast=12, slow=26, signal=9) | train=1.0779 test=N/A | ❌
[2026-03-19 21:01:04] Experiment 113/632 | MACD (fast=12, slow=26, signal=11) | train=1.0923 test=N/A | ❌
[2026-03-19 21:01:05] Experiment 114/632 | MACD (fast=12, slow=26, signal=13) | train=1.0135 test=N/A | ❌
[2026-03-19 21:01:06] Experiment 115/632 | MACD (fast=12, slow=30, signal=5) | train=0.9699 test=N/A | ❌
[2026-03-19 21:01:06] Experiment 116/632 | MACD (fast=12, slow=30, signal=7) | train=1.0175 test=N/A | ❌
[2026-03-19 21:01:07] Experiment 117/632 | MACD (fast=12, slow=30, signal=9) | train=1.1192 test=N/A | ❌
[2026-03-19 21:01:08] Experiment 118/632 | MACD (fast=12, slow=30, signal=11) | train=1.0376 test=N/A | ❌
[2026-03-19 21:01:08] Experiment 119/632 | MACD (fast=12, slow=30, signal=13) | train=0.9062 test=N/A | ❌
[2026-03-19 21:01:09] Experiment 120/632 | MACD (fast=12, slow=35, signal=5) | train=0.9154 test=N/A | ❌
[2026-03-19 21:01:10] Experiment 121/632 | MACD (fast=12, slow=35, signal=7) | train=1.0005 test=N/A | ❌
[2026-03-19 21:01:10] Experiment 122/632 | MACD (fast=12, slow=35, signal=9) | train=1.1130 test=N/A | ❌
[2026-03-19 21:01:11] Experiment 123/632 | MACD (fast=12, slow=35, signal=11) | train=0.9295 test=N/A | ❌
[2026-03-19 21:01:12] Experiment 124/632 | MACD (fast=12, slow=35, signal=13) | train=0.9760 test=N/A | ❌
[2026-03-19 21:01:13] Experiment 125/632 | MACD (fast=14, slow=20, signal=5) | train=1.1817 test=0.0967 | ❌
[2026-03-19 21:01:13] Experiment 126/632 | MACD (fast=14, slow=20, signal=7) | train=0.9584 test=N/A | ❌
[2026-03-19 21:01:14] Experiment 127/632 | MACD (fast=14, slow=20, signal=9) | train=1.1428 test=N/A | ❌
[2026-03-19 21:01:15] Experiment 128/632 | MACD (fast=14, slow=20, signal=11) | train=0.9013 test=N/A | ❌
[2026-03-19 21:01:15] Experiment 129/632 | MACD (fast=14, slow=20, signal=13) | train=0.9170 test=N/A | ❌
[2026-03-19 21:01:16] Experiment 130/632 | MACD (fast=14, slow=24, signal=5) | train=1.1251 test=N/A | ❌
[2026-03-19 21:01:17] Experiment 131/632 | MACD (fast=14, slow=24, signal=7) | train=1.0269 test=N/A | ❌
[2026-03-19 21:01:17] Experiment 132/632 | MACD (fast=14, slow=24, signal=9) | train=1.0946 test=N/A | ❌
[2026-03-19 21:01:18] Experiment 133/632 | MACD (fast=14, slow=24, signal=11) | train=0.9604 test=N/A | ❌
[2026-03-19 21:01:19] Experiment 134/632 | MACD (fast=14, slow=24, signal=13) | train=0.9078 test=N/A | ❌
[2026-03-19 21:01:19] Experiment 135/632 | MACD (fast=14, slow=26, signal=5) | train=0.9210 test=N/A | ❌
[2026-03-19 21:01:20] Experiment 136/632 | MACD (fast=14, slow=26, signal=7) | train=1.1219 test=N/A | ❌
[2026-03-19 21:01:21] Experiment 137/632 | MACD (fast=14, slow=26, signal=9) | train=1.0804 test=N/A | ❌
[2026-03-19 21:01:21] Experiment 138/632 | MACD (fast=14, slow=26, signal=11) | train=1.0135 test=N/A | ❌
[2026-03-19 21:01:22] Experiment 139/632 | MACD (fast=14, slow=26, signal=13) | train=0.9058 test=N/A | ❌
[2026-03-19 21:01:23] Experiment 140/632 | MACD (fast=14, slow=30, signal=5) | train=1.0124 test=N/A | ❌
[2026-03-19 21:01:23] Experiment 141/632 | MACD (fast=14, slow=30, signal=7) | train=1.0727 test=N/A | ❌
[2026-03-19 21:01:24] Experiment 142/632 | MACD (fast=14, slow=30, signal=9) | train=1.0831 test=N/A | ❌
[2026-03-19 21:01:25] Experiment 143/632 | MACD (fast=14, slow=30, signal=11) | train=0.9198 test=N/A | ❌
[2026-03-19 21:01:25] Experiment 144/632 | MACD (fast=14, slow=30, signal=13) | train=0.9328 test=N/A | ❌
[2026-03-19 21:01:26] Experiment 145/632 | MACD (fast=14, slow=35, signal=5) | train=1.0341 test=N/A | ❌
[2026-03-19 21:01:27] Experiment 146/632 | MACD (fast=14, slow=35, signal=7) | train=1.0408 test=N/A | ❌
[2026-03-19 21:01:27] Experiment 147/632 | MACD (fast=14, slow=35, signal=9) | train=1.1030 test=N/A | ❌
[2026-03-19 21:01:28] Experiment 148/632 | MACD (fast=14, slow=35, signal=11) | train=0.9835 test=N/A | ❌
[2026-03-19 21:01:29] Experiment 149/632 | MACD (fast=14, slow=35, signal=13) | train=0.9421 test=N/A | ❌
[2026-03-19 21:01:29] Experiment 150/632 | MACD (fast=16, slow=20, signal=5) | train=1.1333 test=N/A | ❌
[2026-03-19 21:01:30] Experiment 151/632 | MACD (fast=16, slow=20, signal=7) | train=1.0518 test=N/A | ❌
[2026-03-19 21:01:31] Experiment 152/632 | MACD (fast=16, slow=20, signal=9) | train=1.0142 test=N/A | ❌
[2026-03-19 21:01:32] Experiment 153/632 | MACD (fast=16, slow=20, signal=11) | train=0.9120 test=N/A | ❌
[2026-03-19 21:01:32] Experiment 154/632 | MACD (fast=16, slow=20, signal=13) | train=0.9707 test=N/A | ❌
[2026-03-19 21:01:33] Experiment 155/632 | MACD (fast=16, slow=24, signal=5) | train=0.9466 test=N/A | ❌
[2026-03-19 21:01:34] Experiment 156/632 | MACD (fast=16, slow=24, signal=7) | train=1.0757 test=N/A | ❌
[2026-03-19 21:01:34] Experiment 157/632 | MACD (fast=16, slow=24, signal=9) | train=1.0569 test=N/A | ❌
[2026-03-19 21:01:35] Experiment 158/632 | MACD (fast=16, slow=24, signal=11) | train=0.9768 test=N/A | ❌
[2026-03-19 21:01:36] Experiment 159/632 | MACD (fast=16, slow=24, signal=13) | train=0.9743 test=N/A | ❌
[2026-03-19 21:01:36] Experiment 160/632 | MACD (fast=16, slow=26, signal=5) | train=0.9608 test=N/A | ❌
[2026-03-19 21:01:37] Experiment 161/632 | MACD (fast=16, slow=26, signal=7) | train=1.0214 test=N/A | ❌
[2026-03-19 21:01:38] Experiment 162/632 | MACD (fast=16, slow=26, signal=9) | train=1.0322 test=N/A | ❌
[2026-03-19 21:01:38] Experiment 163/632 | MACD (fast=16, slow=26, signal=11) | train=0.8714 test=N/A | ❌
[2026-03-19 21:01:39] Experiment 164/632 | MACD (fast=16, slow=26, signal=13) | train=0.9458 test=N/A | ❌
[2026-03-19 21:01:40] Experiment 165/632 | MACD (fast=16, slow=30, signal=5) | train=0.9648 test=N/A | ❌
